,restaurant,clinic,recreation,store,worship,pharmacy,daycare,supermarket,convenience store,long term care,library,bar,museum,hospital
0,2609379,148117,748147,1298478,257784,204328,67123,477796,43997,15420,19072,24710,13210,22110
1,2248614,332115,754432,1115338,101809,245379,83801,392517,43974,20961,38359,17411,18080,53613
2,2256875,325987,744600,1062686,106337,256570,91276,369274,43654,20665,41114,18379,18967,57642
3,2240613,300560,725800,1019519,114988,237483,88881,346157,44305,19723,38741,17865,18632,49598
4,2422362,318599,754711,1079830,108473,253458,88158,366070,45608,20079,39698,20420,20534,50773
5,2935628,290764,778656,1245864,122455,264491,88666,394188,50463,19641,29833,30684,18642,47349
6,3275015,209570,889961,1574550,142715,259043,60919,461709,49008,16499,26801,37997,17388,25048
7,2562383,147813,757080,1246112,244423,205261,65044,477307,44617,15674,19345,22790,13807,20499
8,2002091,307752,685488,966171,105147,231609,83703,368563,40392,19220,40798,15812,17848,49629
9,2147016,303677,725409,1035664,109411,232716,85315,373567,43172,18649,43412,16590,19953,50356
10,2149221,293077,704985,1047206,122820,237133,87958,377427,41378,18471,39939,17868,19183,46697
11,2219878,290353,690606,1187576,103116,274008,82030,507176,43311,17884,34795,18580,17378,46221
12,2734463,281514,722480,1471687,111202,327760,77152,702195,52859,19507,31947,24442,15259,47396
13,2312530,157939,557446,1249948,88823,255958,37129,578331,38548,11153,17547,27092,9157,20512
14,1762180,106770,463539,998187,111608,202338,34105,535619,32669,11529,15620,13919,8009,16250
15,1486607,228325,423309,899936,69450,235016,44174,496964,34891,14155,16857,9586,8115,37983
16,1283956,210363,440158,817076,96447,210053,48690,410370,33819,15702,19002,9170,7042,35829
17,1096773,179775,311695,722570,64262,189646,34383,377267,31543,13292,9266,7061,6150,31786
18,1104485,177579,317008,758458,62382,192185,33869,437365,30022,13307,9128,7044,6250,31131
19,980698,140329,275520,653514,56646,160694,30969,398464,24906,11742,7480,5655,5968,24711
20,656905,70925,194592,442361,47880,99700,21039,249917,15729,8408,4106,4456,3887,11452
21,607171,60507,178613,375916,45821,91342,20538,241035,16542,8403,3824,3799,2887,12944
22,836369,145202,252844,504746,51946,132679,27093,277810,24967,13122,5638,5006,5176,29643
23,753927,117968,223089,442723,42072,120583,21214,251351,22361,10551,4737,4486,5401,22504
24,610267,72578,213101,319944,45802,77727,19512,158521,17240,7355,4596,4252,4033,14242
25,874827,128095,242655,487575,53444,130272,25122,277472,25247,12201,4920,4793,4093,25077
26,961977,119584,242215,507938,52830,135652,25555,299517,25771,11790,4954,5376,4168,22372
27,876964,79531,214110,525010,49757,120477,21655,329936,21990,8981,3808,4334,3468,13087
28,708123,60425,181175,437767,47017,98314,20394,285774,18296,8795,3847,3196,3440,11692
29,879977,135338,264718,505977,56264,137559,27621,284550,25110,12625,5771,4802,4501,25498
30,841474,124821,220967,483291,45472,132497,23862,274917,23853,11722,4802,3968,3837,25437
31,1170358,150571,320627,683174,64600,189188,34426,387683,34356,14348,6117,4952,6287,27253
32,1214966,151257,335901,690590,63892,177303,31963,388374,35095,15033,6504,5442,5689,25909
33,1436538,152890,368057,764886,73298,195329,36492,441999,41165,15380,6547,6390,6162,25047
34,1244109,92917,263841,745929,60629,170351,27094,490071,31089,10795,4614,5167,4655,13655
35,984675,71441,268795,584697,58418,136471,25088,402939,26416,10239,4745,3799,4647,13163
36,1053022,147563,305976,613198,61188,165483,32322,369136,31088,13350,5513,5708,4878,28395
37,1174834,155693,377997,640743,69877,169521,36724,382511,36148,15629,6218,6669,6084,27417
38,1114758,146244,314351,634061,64023,167287,33431,383901,34954,14512,5427,5570,5052,27475
39,1144373,145646,280492,675487,59513,172798,29601,407876,31955,13357,4561,5810,4513,26686
40,1328339,133387,309918,771879,65386,198994,31095,493126,34966,13320,4717,6380,5093,24557
41,1302711,94441,305069,800863,63917,195528,27871,528068,33604,11690,4765,5060,4991,13657
42,732426,64155,228853,352453,58212,114201,22781,290069,25375,10249,3309,3554,3898,10950
43,934240,127092,237388,550703,50099,147425,25726,313018,28355,11417,4474,4683,4322,23575
44,1024537,131234,252003,548963,53778,152384,28516,330031,30906,11711,4757,4932,4748,23702
45,1122042,128234,251942,602242,55747,159828,28831,341696,31839,11942,4497,4811,4560,24739
46,1202002,136788,282844,653248,58640,167771,29873,368648,33616,12363,5193,5401,5210,23719
47,1268864,129000,257485,656022,54038,163126,29676,378388,31865,11766,4783,5601,5002,22427
48,1403093,92021,307487,757743,65612,169068,28200,452541,35497,10557,4530,5466,5170,14065
49,1089256,73012,281978,602544,59346,131540,26233,382601,30329,9593,4210,4136,4280,12772
50,1166166,146937,320100,634546,64498,164834,33899,355511,31817,13015,5695,5471,5202,24773
51,1232074,151883,320266,684679,67341,172144,35424,379096,31731,14408,5926,5888,5513,26980
52,1218945,151439,303289,666770,66215,168471,34330,375105,33478,13256,5569,6359,5629,27700
53,1285374,159923,329325,698180,68287,173931,36130,396056,34658,14877,6003,6370,5882,27227
54,1504831,151423,348067,768829,70821,183412,36789,417411,37876,14744,6721,7068,5675,25857
55,1359462,94550,265708,779528,64242,167677,28867,466626,29918,10687,4261,6476,4528,14679
56,1238254,82661,341401,697003,70469,140299,30671,425419,33157,11213,5502,5341,4831,13015
57,1225642,162497,325802,692473,69581,171670,37268,376514,35076,14742,6473,5885,5520,27781
58,1324360,163150,355122,718386,74322,172151,38392,395705,36703,15149,6772,6358,5880,27824
59,1175503,149345,275373,652941,62260,159706,30735,372697,32460,13216,5260,5384,5153,27529
60,1338594,155786,330825,739310,70004,177662,36145,403102,35367,13685,5748,5767,5904,24909
61,1356321,141062,350290,677505,73814,156652,36756,347916,34713,13130,5729,6547,5764,28006
62,1308247,90228,342906,677888,73442,143837,30836,380194,35878,10316,5403,5528,5337,15540
63,984137,58776,269974,528608,54050,111086,21276,316729,25576,8502,3336,3753,3799,12910
64,983512,127577,248726,564704,49843,140356,25992,297231,26695,10515,4033,4613,4202,29719
65,1023775,125458,234285,564113,47861,141643,24302,320106,26725,10882,4507,4723,4039,30618
66,1105696,139925,315586,615576,58065,145376,31013,307826,31633,12293,5385,5657,5799,32399
67,1131531,139708,319867,621682,59383,150666,30763,314429,30903,12796,5528,5358,5568,30598
68,1260640,128252,281514,696872,58109,160704,29782,358349,33562,11292,5228,5913,4640,29029
69,1377292,90264,336289,816588,67921,189203,29023,460878,33411,10870,4597,6207,5641,15948
70,1074415,58593,200131,522715,53178,140039,20934,338498,23397,8694,3325,4442,2880,13326
71,977919,138800,269521,560746,53211,138430,28544,289757,28404,11120,4856,4571,4996,31105
72,1112383,144839,327329,591167,61833,145745,31820,300375,31122,12044,6388,5241,5625,32502
73,1147323,144528,329449,606107,60758,145720,30940,300268,32700,12227,6201,5704,5403,33877
74,1038864,138361,265372,565603,53353,138186,26809,286325,26592,11185,4985,5602,4855,32508
75,1362432,139165,362077,669905,67997,153849,36379,318992,36131,12487,5924,6775,6537,28505
76,1352480,94072,348159,731645,66932,146481,29929,369543,34538,9605,4910,5415,4944,16004
77,840214,55582,182726,524207,49589,99253,19422,306720,21010,7645,3304,3966,2854,13806
78,1088830,158787,306521,630068,60174,151253,31145,310087,30709,12459,6045,6051,5496,33998
79,1103352,154034,283700,611847,59800,145249,29715,298909,29283,11922,5246,5194,4909,33976
80,1236673,159819,361206,660517,67349,154108,34224,316393,34003,12987,6165,6476,6308,33252
81,1245808,155784,357139,659368,65520,153901,32591,317261,33576,12272,6772,6473,6455,33634
82,1455387,152800,398465,748234,72125,168664,37655,371706,39225,13592,7068,7048,6874,32098
83,1337869,94031,338292,751254,72490,145941,32009,388361,34749,9935,5028,6148,4974,16177
84,1158237,79256,366195,658181,79699,128895,30435,380277,35574,10394,5025,5921,5677,14565
85,1026959,77725,331505,564592,66043,111670,27639,323116,30560,10401,4551,4226,5320,15959
86,1233707,172514,374983,673526,69782,163996,36483,297122,35068,12892,6816,6317,7392,35333
87,1288116,171031,369788,677226,70724,159517,36817,299976,35496,13079,6995,6880,6853,35998
88,1319813,172707,365796,708922,70586,162356,36631,307227,35142,13081,7009,7269,6121,34155
89,1698924,170118,476717,861260,79719,180712,42691,339831,42650,12993,7411,10961,7712,31821
90,1683851,108544,472852,920054,82135,166119,36584,380341,40154,10594,7009,10303,7568,16668
91,1255818,82669,404849,622637,78155,113246,31018,331943,33004,10349,5335,7946,5864,14810
92,1141658,167504,345291,527993,57995,134146,31621,288477,29760,11964,6787,6646,5071,22860
93,1197848,165632,372011,556666,58365,149737,30306,285772,32715,11261,6364,7034,5647,24109
94,1281176,169606,372978,652544,58603,155922,31995,288095,31675,11697,6499,7856,7071,25052
95,1358069,170330,398872,692405,61288,156014,32975,283437,33439,11371,7171,8446,6526,23710
96,1553907,162678,416419,784740,61710,167878,33877,318420,37164,11742,6101,10837,7059,23726
97,1486865,100478,406626,825523,68791,155591,29032,347932,34208,9352,5246,9419,5723,11224
98,1203269,69806,347824,664707,68445,118255,24580,310236,27643,8545,4267,7938,4087,9598
99,1309462,183513,415633,769227,60355,163888,34463,292481,31178,11925,7587,7944,6085,25359
100,1237669,180562,348544,742102,56104,149467,32438,282011,30786,11553,7167,6450,5488,27574
101,1305956,174596,381279,780798,59009,158197,32138,292963,29804,11409,7107,7940,6544,25276
102,1484068,185289,469283,817893,66763,162478,35316,298008,33244,12603,7903,10306,7316,25799
103,1562725,161730,431024,828145,62666,163530,32410,299212,35105,11681,7102,10431,7053,22144
104,1542422,105075,413518,892362,69344,152739,28882,330576,32776,8931,6061,9837,6414,11029
105,1297101,75497,381116,772688,73217,120556,26259,320936,28249,8553,4786,8173,6185,9828
106,1305921,183343,434097,767809,58897,158258,34753,275492,31104,11629,7518,8013,6672,25508
107,1342899,177080,439485,740633,58804,150673,33193,272688,31872,11356,7805,8750,6219,24539
108,1415836,179059,453196,763022,62926,158797,35519,283044,32557,11248,7335,9549,7236,25512
109,1516460,189088,471569,834341,63809,170614,37380,303307,34990,12881,8289,10898,7702,25712
110,1615571,163296,456185,861866,65960,164984,34759,318445,35478,11476,6847,12001,6873,25350
111,1600096,110985,418659,1022739,71820,175500,29570,399252,34699,9041,6593,10354,6001,14148
112,1236152,72020,356962,666939,73209,131653,23861,320164,26511,8533,4201,7811,5104,11026
113,1242351,192065,381955,737256,58647,151243,32688,268507,29983,11348,7741,7870,6152,26759
114,1438170,196596,484682,808695,62587,167217,36622,292858,32092,12552,8436,9860,7708,27173
115,1493895,196375,487893,830180,68376,169622,37659,291267,33087,12806,8049,10101,7468,28300
116,1581055,198696,511696,855549,66422,171744,38266,300418,35911,12661,8178,11639,7954,27841
117,1585596,174897,408815,848783,63405,164391,33051,295681,33098,11741,7348,10944,6322,25015
118,1738054,118965,491416,961664,71873,162244,32486,347649,35537,9666,6564,12037,6725,12370
119,1416036,82539,433566,793040,80043,124019,26947,319461,30685,8885,4634,9012,6250,10128
120,1343807,194603,420222,753826,56843,155403,34268,274532,30174,10801,7899,8433,6343,26993
121,1536399,199657,522386,829488,62247,169922,36440,293238,33654,12446,9917,10198,7334,26723
122,1642252,199315,498036,800091,62629,166954,32569,298606,35461,10970,7963,10226,7004,27563
123,1680636,184377,485479,811071,56795,161842,30600,317419,35907,10687,8227,11756,6549,26105
124,1824037,117954,483354,977911,64099,171722,27705,425637,38395,9384,6696,11638,5615,15193
125,1144257,79292,443069,586212,70506,116866,26456,333765,30421,7522,4963,8054,5025,10118
126,1306664,70089,391272,663369,74118,110320,22773,267178,28024,7508,4331,7371,4774,10010
127,1445238,195089,464219,747619,52041,160866,31245,277071,31683,10497,9267,9122,6080,28416
128,1477434,205264,480047,739265,55120,159780,31808,275193,32974,11214,10023,9311,6258,28722
129,1460440,184178,462194,697767,52828,146831,29783,255012,29755,9388,7809,9803,6445,26383
130,1641033,203592,499263,793060,59356,164250,34878,282977,34275,11107,9454,10463,7165,29001
131,1879101,189006,518872,881453,64186,171419,34133,314317,37961,11289,9343,12772,8090,26935
132,1782926,109831,517779,897151,65555,156919,26210,321685,36599,8348,7622,12590,6723,12596
133,1472630,72533,461863,736058,78159,120846,22721,302807,28998,7910,5372,9408,6385,9939
134,1512636,210934,518841,755532,61096,162231,35894,284593,32290,11670,10603,9602,7010,29037
135,1573819,208293,542853,760836,61283,162755,35918,276846,33859,11637,10089,10792,6940,29645
136,1534153,207028,443992,758311,62195,160596,34345,272142,32768,11931,9501,10397,7209,30393
137,1690397,206380,555848,810176,62588,167762,35998,284956,35090,11979,10510,12378,8413,28911
138,1942211,193802,565774,890033,67872,175430,37049,315627,40441,12072,8872,13885,8113,28000
139,1788365,108807,518365,878881,71025,155212,28844,328348,34210,9058,7258,12661,7357,12861
140,1379171,72553,395345,711098,72671,115069,23170,292025,25487,7660,5712,9089,5561,9983
141,1498835,213232,503947,751051,59017,162177,33677,279800,31646,11148,10004,9076,6945,30104
142,1549446,212094,498814,766193,57984,166250,36043,276036,30809,11543,10662,10274,7179,29635
143,1686332,218008,565206,816443,66481,169672,37857,287726,36507,11441,10756,12594,8215,31482
144,1728092,211483,569642,806505,63843,168037,37311,283492,35982,11310,9876,12828,8495,29233
145,1952397,195447,563431,891367,68194,175746,36534,316113,40133,12050,9637,14555,9061,27939
146,1892749,115858,547807,905365,75368,159301,30349,331952,37068,8639,8599,14600,8599,13025
147,1500717,79218,442762,746031,80028,124753,27386,307105,29895,7630,6267,10192,7211,9505
148,1488265,211128,497925,752437,58880,162949,33608,282904,32044,10842,11046,9969,6861,28343
149,1631151,216060,567170,774723,65230,169432,38178,277338,34798,11768,11592,11538,7758,30069
150,1683989,218176,549451,809466,63882,171997,37141,285417,34813,12077,10920,12419,8385,31083
151,1770480,220265,572967,831251,64924,175424,39782,292091,35299,12062,11919,12579,8978,29759
152,2008488,199652,584167,903932,73452,178626,39357,306920,39651,12129,10494,15174,9312,29298
153,1794562,115639,522033,877461,69709,155066,30785,296987,33828,9076,9178,14515,8455,15869
154,1485483,85587,472960,753719,84436,124674,29562,289223,28829,8823,7386,10884,6949,13713
155,1455638,212120,484136,747184,60701,159494,37608,264633,30170,11276,11850,9963,7091,37157
156,1602982,217942,540542,777744,62504,164226,39215,270931,33080,12682,11626,11709,7937,38321
157,1600075,209596,540454,781192,64986,159146,39290,263209,32838,12323,12477,11556,8758,37557
158,1637013,208799,545841,773768,63177,158943,39787,262717,33862,11533,11727,12551,8750,36620
159,1846401,189787,544419,850008,65828,164029,37830,286129,35902,10891,10134,16744,9246,34081
160,1729784,108552,524632,859945,68389,145139,28889,294019,33949,8571,8591,14601,7988,16101
161,1392287,76640,434987,691371,78375,112035,26159,271808,26136,7700,5996,10014,7056,12840
162,1343329,204733,402797,632114,54311,137419,36139,244939,30492,10900,10857,9318,6383,36181
163,1622322,209307,536328,759175,59778,160102,39367,268659,37795,12536,11939,11817,7343,37810
164,1602925,203595,533159,760076,62913,155646,38329,258285,33728,11726,10702,12689,8065,36602
165,1616389,203297,523130,762327,56145,154060,39169,258392,33861,11075,10880,12560,8082,35954
166,1867299,190761,539443,855142,63475,163813,38074,287569,37040,12085,10943,15408,9060,34617
167,1747763,110267,478436,907451,70794,151614,28772,309824,33926,8333,8762,14264,7864,16306
168,1426117,74003,448151,744729,79252,118680,24426,286400,27958,7584,5976,10743,7649,12998
169,1387881,201797,474284,716815,56137,148939,36270,251445,30601,10882,10991,10233,7771,35648
170,1501306,209654,513104,751738,61640,154917,39278,261880,31344,11934,10764,11347,7817,36977
171,1530212,203407,515775,749003,64080,152977,39390,251181,31324,12226,11014,11167,9015,36320
172,1623838,204414,532229,770868,64662,159222,41314,261448,34627,12394,10904,12869,8844,38411
173,2013835,209714,577224,919488,75571,177424,44781,312548,39889,13526,11670,16853,9673,40472
174,1893974,116509,559563,956659,76619,156245,31106,326158,35782,9765,8072,16802,8712,18399
175,1416601,75015,416372,749799,82922,116100,26821,295189,26663,8430,5079,11183,7037,13690
176,1327523,199887,438407,678132,53564,145490,39126,255654,30383,11250,10813,9526,7334,37412
177,1384407,202931,463076,695693,56613,147053,39568,250773,29735,12286,10802,10500,7238,39055
178,1375078,192884,449035,667107,59861,139658,38578,235167,30561,11209,10529,10605,7103,38171
179,1445916,192860,461333,681109,58569,145724,38977,246502,31557,11096,11272,11167,7497,37019
180,1528112,174502,428370,697075,58411,140409,34920,245053,31152,10939,9490,12524,7111,34617
181,1771269,108183,519041,890472,67998,147873,28968,302670,33122,8891,8378,15785,7280,16131
182,1294673,64840,404327,652007,72349,103791,23121,255356,23086,7442,4791,9901,6502,11380
183,1220919,185951,453036,609154,59581,136200,38594,225536,26417,10674,12961,9139,7305,33200
